id,very_positive,positive,neutral,negative,very_negative,score
aD4R5Bd,4.5,26.5,58.0,8.5,2.0,5.7142857142857135
aQd6mrr,4.0391,18.5938,43.6406,27.9453,5.7031,22.501466275659823
ax9Er2Y,5.7273,26.7273,42.0909,20.0909,5.2727,19.153846153846157
aWxB5qK,9.5455,20.7273,38.2727,27.0,4.7273,18.352941176470583
a9njBxL,1.5,4.75,41.0,43.75,9.5,11.833333333333336
a8GdgWV,4.5,22.0,25.5,38.75,9.5,7.833333333333332
an4eBOL,4.7586,17.1724,50.1034,23.7241,4.1034,29.30434782608696
a1Wpg9D,2.8,17.7,45.9,25.6,8.1,4.153846153846153
aBm9j71,3.5625,17.875,48.0,26.5,3.8125,10.111111111111109
aEPdbje,4.25,15.75,46.0,28.625,5.125,5.035714285714286
a6Kro9b,3.5652,17.5217,45.3043,28.3913,5.1739,32.973684210526315
aQd6Kqq,6.2,20.8,40.2,26.8,5.8,28.875
aQd6ynw,3.1739,16.7174,47.6739,28.4348,3.8261,19.0
aVwjr18,2.3333,11.0,38.0,42.3333,6.3333,11.681818181818182
aYyj64v,5.1563,20.7188,42.4688,26.2188,5.25,10.409090909090908
adVy4e2,6.4444,26.3333,42.6667,21.1111,3.3333,4.128205128205129
aZyqoPV,6.125,24.75,37.875,27.5,4.0,5.266666666666667
a8GdgbZ,1.5294,15.4118,45.0588,33.1765,5.0,11.978260869565215
aqn4ENj,6.2,24.6,25.6,35.8,7.6,16.166666666666668
ax9EAD2,3.5556,22.3333,36.7778,31.2222,6.0,6.5555555555555545
agArpw1,3.9091,22.1364,53.0455,17.3182,3.4545,8.357142857142858
aO7oADD,3.5,20.5,37.0,32.375,6.5,45.58823529411765
aQd65Pr,1.6667,15.0,62.3333,18.3333,2.6667,13.0
aAeBmAo,7.5,33.25,38.5,18.0,2.75,5.64
avz2jLZ,3.1875,19.1875,40.625,30.9375,6.0,9.818181818181818
aBm9MQ1,2.25,18.1667,46.4167,29.5,3.8333,35.42857142857143
aD4RvwK,3.8235,22.7059,35.8824,30.5882,7.1176,12.442622950819672
a2WEx8p,2.8333,15.0,48.6667,28.75,4.6667,15.079365079365079
aQd6jPW,3.25,15.875,40.875,34.25,5.5,24.0
amvqwW6,2.6429,14.7857,43.6429,32.9286,6.0714,27.0
aMxeW1G,5.55,14.8,39.85,32.75,6.75,5.729166666666668
aZyqYNn,3.0789,18.1053,54.2105,21.2632,3.3421,12.55
a8GdN7p,3.6897,17.931,47.5517,25.6207,4.7931,12.428571428571427
aBm9zpD,9.625,19.0,15.5,38.625,17.0,4.857142857142857
aoPmGNm,1.875,12.75,49.125,31.5,4.75,4.76
aqn4wjQ,3.0,22.0,31.75,37.25,5.5,36.41666666666666
aQd6bR2,2.5789,17.1053,58.5789,18.6316,3.0526,4.188888888888889
ayeEzpM,4.4444,19.2222,57.5556,15.6667,2.4444,4.565217391304348
aNgmGPr,3.2353,27.8824,46.3529,19.1176,3.4118,13.727272727272727
a5Wp3KG,2.5,12.875,49.0,30.25,5.75,6.75
aeDKzeb,1.375,7.625,53.625,33.0,4.25,7.0625
an4ewo0,3.8182,19.2727,45.5,27.8182,3.6364,17.3
apGKXq5,5.6667,17.6667,37.5333,33.6333,5.1333,6.706214689265536
aD4RvoG,10.2857,24.6429,39.2857,21.6429,4.1429,4.846153846153847
aAeBqop,3.0,14.7895,47.5263,27.7895,6.7368,8.03225806451613
aVwj5dn,5.5,26.0,23.0,36.5,8.5,5.431372549019608
aqn4E5Y,2.4583,13.7917,47.2917,31.5417,5.0417,6.041666666666668
a3wvDLm,2.6667,9.6667,35.6667,43.6667,8.3333,15.857142857142858
aQd6Kge,4.3333,16.1111,45.8889,28.4444,5.0,16.636363636363637
a8GdvRd,3.1818,16.4545,44.0909,32.0909,4.1818,10.558823529411764
a3wve3v,3.0,16.5882,45.4706,28.9412,5.6471,22.035714285714285
aBm9jpA,3.8036,17.6786,42.3036,31.1071,5.2143,26.8
adVyzNQ,2.8947,17.6842,51.4737,24.1053,3.8421,8.9
aMxe7WM,2.0909,13.9091,62.0,19.1818,2.6364,21.981132075471695
aR7690j,22.5,13.25,34.25,25.25,4.25,4.875
aWxBN1n,6.32,21.96,39.6,26.84,5.36,4.620689655172415
amvqnN6,6.6452,18.3548,43.3226,27.2581,4.1613,15.247524752475247
aZyqvjz,2.4545,17.8636,55.8636,20.9545,2.8636,5.416666666666668
avz2jnd,3.6176,19.5,42.8235,28.6176,5.3235,14.0
a1WpwLb,10.8571,30.3571,41.0,15.3571,2.3571,34.21739130434783
ax9EeMp,4.3333,22.6667,45.5333,23.0,4.3333,12.953846153846154
aBm9bLA,3.5238,22.381,39.3333,30.0476,4.6667,7.545454545454546
ax9E4Mn,3.9615,22.6154,42.3846,26.3462,4.5,12.461538461538463
aD4RqKB,0.75,4.5,38.0,40.75,15.75,10.695652173913043
abG3KDE,5.55,24.9,41.925,23.0,4.525,28.778846153846153
