id,very_negative,negative,neutral,positive,very_positive
agAr666,6.0556,34.0556,38.1111,19.0000,2.8333
aAeBOe0,4.0000,21.6250,48.4167,22.4167,3.6667
aj9Qze0,4.4545,24.4545,44.2727,23.0000,3.8182
aR76bpQ,1.0000,4.3333,36.3333,50.6667,8.0000
a2WEGZD,4.7647,32.7059,45.7647,15.0000,1.7059
aNgm7Gb,7.8571,37.4286,31.0000,18.5714,5.0000
aeDKnEb,1.3333,15.0000,54.6667,27.3333,1.6667
a43pXrp,3.0000,29.0000,61.0000,6.0000,1.0000
aP76E0R,3.3333,19.0000,29.0000,43.0000,5.3333
aBm9ABN,7.3333,36.0000,52.0000,3.6667,1.0000
aj9QRMq,8.4286,38.5714,40.8095,10.1429,2.0952
azm7W3x,2.6667,16.6667,49.3333,28.0000,3.0000
awBNEWy,4.1923,24.1538,54.2692,15.1538,2.3077
aVwjp8O,5.2500,26.0000,50.0000,15.3750,2.6250
apGK4ZB,3.0000,28.5000,62.0000,5.5000,1.0000
a9njxzm,9.0000,52.3333,32.0000,5.3333,1.0000
aWxB38Z,1.0000,18.0000,75.0000,6.0000,0.0000
adVyAdB,6.5000,32.8333,31.1667,24.3333,5.3333
adVyM49,3.2000,19.2000,50.6000,22.4000,4.0000
aoPmvwn,3.5000,22.7500,54.2500,16.5000,3.0000
a7WvAZe,5.6667,21.3333,28.5000,33.0000,11.3333
a3wv0vr,6.6373,30.2059,41.5490,18.0784,3.5000
aBm9AAD,7.0357,28.7857,43.7143,16.6429,3.6786
aR76AjG,7.4359,28.6410,40.7949,19.6923,3.4872
