id,comments count,section,type,person,people,cat,dog,other animal,poster,clothing,car,toy,tree,glasses,building,electronic device,airplane,guitar,pattern,image_text,comments,score,log_score
aO7oN93,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,194,-25.0,9.11111111111111,2.3136349291806306
aO7oNBN,36,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,-16.6667,11.975,2.563024429051952
aO7onBy,2,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.6667,4.8,1.7578579175523736
aO7one2,267,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,47.275862068965516,3.876931685616876
aO7oNKR,31,2,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,45,0,17.615384615384617,2.9239883686951496
aO7onLR,24,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27.037037037037038,3.33352638743312
aO7onNE,5,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-12.5,13.1875,2.6523612952416213
aO7onr3,57,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,12.518518518518519,2.6040604875781623
aO7oNvv,54,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.816666666666666,1.919370593820701
aO7onZN,65,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.770270270270274,4.1552870985222174
aO7oO12,22,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,14.555555555555555,2.7444178452730847
aO7oOm6,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0.0,17.16,2.8992213731731473
aO7oOov,34,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0,9.795918367346939,2.379168133747673
aO7oOXy,109,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.625,44.350515463917525,3.814421542845337
aO7oOYE,27,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4,2.667228206581955
aO7oOyN,17,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,7.578947368421052,2.1493112216403216
aO7opMv,5,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,-12.5,5.666666666666667,1.8971199848858813
aO7opZr,37,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.783783783783784,2.693530889777757
aO7oQpD,207,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.532515337423312,2.8053290682797423
aO7oQxv,299,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.40495867768595,3.723400648482169
aO7oR8D,65,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,50,0,48.271929824561404,3.8973545441379374
aO7oR9y,40,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,12.091743119266056,2.5719817352476926
aO7oRvv,65,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.332247557003257,2.729958293813945
aO7oV1R,137,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,43,0,34.69642857142857,3.575050643765251
aO7ov9D,45,1,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,86,0,18.746666666666666,2.9829847007314885
aO7ovOM,85,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.8,3.5779478934066544
aO7oVP3,80,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,-1.5152,81.68518518518519,4.415040446746325
aO7ovPE,37,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-11.1111,7.42152466367713,2.1307908883080895
aO7ow2r,4,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,491,0,1.6666666666666667,0.9808292530117263
aO7ow3N,1,3,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-20.8333,5.125,1.8123787564307907
aO7owAM,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,2.0,1.0986122886681098
aO7oWB3,5,2,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,28,-21.4286,16.636363636363637,2.8699628862649575
aO7owBv,4,3,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,7.5,2.1400661634962708
aO7owG3,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3333333333333333,0.28768207245178085
aO7owMN,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,224,0,1.6666666666666667,0.9808292530117263
aO7ownM,11,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.5,0.9162907318741551
aO7owp3,7,3,2,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,12.5,3.7,1.547562508716013
aO7owqy,0,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,0,2.1666666666666665,1.1526795099383853
