Method,MAE,MSE,RMSE,R2 score,Features
Voting,7.3691,114.816,10.7152,0.1503,"type, comments count, objects, pattern, comments"
2905,,,,,
Baseline,10.4095,196.7784,14.0278,0.0,"type, comments count, objects, pattern"
Linear regression,9.6419,172.7192,13.1423,0.0863,"type, comments count, objects, pattern"
Elastic net,9.6004,172.0251,13.1158,0.09,"type, comments count, objects, pattern"
Elastic net opt,9.6151,172.0769,13.1178,0.0897,"type, comments count, objects, pattern"
SVR,8.0341,148.9338,12.2038,0.2121,"type, comments count, objects, pattern"
SVR opt,8.0082,148.6131,12.1907,0.2138,"type, comments count, objects, pattern"
Random forest,9.3175,174.309,13.2026,0.0779,"type, comments count, objects, pattern"
Random forest opt,8.2886,135.2918,11.6315,0.2843,"type, comments count, objects, pattern"
Voting,8.8971,150.9688,12.2869,0.2014,"type, comments count, objects, pattern"
Samples,6007

Baseline,10.4095,196.7784,14.0278,0.0,"type, comments count, objects, pattern, comments"
Linear regression,9.614,171.9277,13.1121,0.0905,"type, comments count, objects, pattern, comments"
Elastic net,9.5681,171.1577,13.0827,0.0946,"type, comments count, objects, pattern, comments"
Elastic net opt,9.6052,171.6077,13.0999,0.0922,"type, comments count, objects, pattern, comments"
SVR,8.0379,148.9783,12.2057,0.2119,"type, comments count, objects, pattern, comments"
SVR opt,8.0109,148.5826,12.1894,0.214,"type, comments count, objects, pattern, comments"
Random forest,9.4314,175.2979,13.24,0.0726,"type, comments count, objects, pattern, comments"
Random forest opt,8.283,135.546,11.6424,0.2829,"type, comments count, objects, pattern, comments"
Voting,8.8392,149.034,12.2079,0.2116,"type, comments count, objects, pattern, comments"
Samples,6007

Baseline,10.4095,196.7784,14.0278,0.0,"type, comments count, objects, pattern, comments"
Linear regression,9.614,171.9277,13.1121,0.0905,"type, comments count, objects, pattern, comments"
Elastic net,9.5681,171.1577,13.0827,0.0946,"type, comments count, objects, pattern, comments"
Elastic net opt,9.6003,171.5376,13.0972,0.0925,"type, comments count, objects, pattern, comments"
SVR,8.0379,148.9783,12.2057,0.2119,"type, comments count, objects, pattern, comments"
SVR opt,8.0109,148.5826,12.1894,0.214,"type, comments count, objects, pattern, comments"
Random forest,9.3986,174.9209,13.2258,0.0746,"type, comments count, objects, pattern, comments"
Random forest opt,8.2884,135.1143,11.6239,0.2852,"type, comments count, objects, pattern, comments"
Voting,8.8658,149.9511,12.2455,0.2067,"type, comments count, objects, pattern, comments"
Samples,6007

Baseline,10.4095,196.7784,14.0278,0.0,"type, comments count, objects, pattern, comments"
Linear regression,9.6121,171.8282,13.1083,0.091,"type, comments count, objects, pattern, comments"
Elastic net,9.5681,171.1577,13.0827,0.0946,"type, comments count, objects, pattern, comments"
Elastic net opt,9.5883,171.2926,13.0879,0.0938,"type, comments count, objects, pattern, comments"
SVR,8.0379,148.9777,12.2056,0.2119,"type, comments count, objects, pattern, comments"
SVR opt,8.01,148.6009,12.1902,0.2139,"type, comments count, objects, pattern, comments"
